SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
503349,VICTORIA MIL,X ,Q,1900.00,1900.00,1804.00,1810.05,1810.00,1797.20,8,12,21836.00,
503624,SVARAJ TRAD ,XT,Q,5.41,5.41,5.41,5.41,5.41,5.68,7,6221,33655.00,
503641,ZODIAC VEN  ,XT,Q,3.90,3.90,3.88,3.88,3.88,3.80,9,1682,6526.00,
503657,VEER ENERGY ,X ,Q,8.55,9.00,8.01,8.80,8.99,8.34,82,10255,88012.00,
503663,TILAK       ,XT,Q,3.00,3.04,2.76,2.98,2.98,2.90,36,11835,33884.00,
503722,BANSW.SYNTEX,B ,Q,103.60,103.60,92.10,100.30,102.00,100.30,56,1223,120602.00,
503772,MODELLA WOOL,XT,Q,12.90,12.90,12.90,12.90,12.90,13.55,1,225,2902.00,
503776,MODIPON     ,X ,Q,18.00,18.00,18.00,18.00,18.00,17.15,1,2,36.00,
503804,SHRI DINESH ,X ,Q,345.60,355.00,345.00,346.85,352.00,360.00,18,842,292471.00,
503806,SRF LIMITED ,A ,Q,5310.15,5444.90,5289.25,5406.90,5400.00,5267.60,2411,26245,141573689.00,
503811,SIYARAM SILK,B ,Q,188.30,194.90,186.75,189.00,191.05,185.45,295,7120,1340443.00,
503960,BHARAT BIJLE,A ,Q,1114.25,1135.80,1106.60,1112.70,1112.70,1113.85,178,698,783703.00,
504000,ELPRO INTER ,X ,Q,43.00,43.10,41.35,41.40,41.35,41.75,39,3654,155065.00,
504008,EMCO LTD.   ,Z ,Q,1.45,1.52,1.38,1.38,1.38,1.45,22,11526,15940.00,
504028,GEE LTD     ,X ,Q,39.60,39.95,38.10,38.55,38.90,38.55,131,26707,1045697.00,
504036,HIND.RECT   ,B ,Q,125.15,125.15,117.45,119.55,120.25,122.70,199,8799,1057340.00,
504058,NIPPOBATRY  ,B ,Q,733.00,733.00,712.20,716.85,715.00,704.60,14,30,21573.00,
504067,ZENSAR TECH.,A ,Q,283.00,285.00,270.95,272.35,275.15,278.80,1208,26639,7343827.00,
504076,JYOTI LTD.  ,X ,Q,9.90,9.92,9.90,9.92,9.92,9.45,19,2455,24346.00,
504080,JSL LTD.    ,XT,Q,122.95,122.95,112.50,112.50,112.50,118.35,5,145,17547.00,
504084,KAYCEE IND  ,X ,Q,2700.00,2700.00,2700.00,2700.00,2700.00,2631.00,1,1,2700.00,
504092,INDOKEM LTD.,X ,Q,22.60,24.50,22.60,24.50,24.50,23.35,40,7671,184552.00,
504093,PANA ENERG  ,X ,Q,215.00,215.00,199.95,203.20,203.00,209.05,240,10085,2057056.00,
504112,NELCO LTD.  ,A ,Q,191.70,193.05,189.95,191.20,191.20,189.80,143,5583,1068341.00,
504132,PERM MAGNETS,X ,Q,207.00,207.00,191.00,195.30,196.00,191.70,151,6816,1328439.00,
504176,HIGH ENERGY ,X ,Q,830.00,830.00,801.00,817.55,803.00,807.65,106,803,655128.00,
504180,STD.BATTERY ,XT,Q,46.25,46.25,46.25,46.25,46.25,45.35,30,9866,456302.00,
504212,UNIV.CABLE  ,B ,Q,140.60,142.20,136.20,137.80,136.55,138.95,443,10192,1424551.00,
504220,W.S.INDUSTR.,B ,Q,6.62,6.63,6.20,6.41,6.62,6.32,219,29601,191828.00,
504240,DELTON CABLE,X ,Q,34.00,34.00,31.25,33.85,33.85,33.90,20,618,19925.00,
504258,LAKSHMI ELEC,X ,Q,299.90,312.00,299.00,299.90,299.00,300.35,21,286,86300.00,
504273,MODULEX     ,X ,Q,6.01,6.13,5.78,6.09,6.09,6.01,35,3248,19242.00,
504286,DELTAMAGNT  ,B ,Q,31.55,32.00,31.10,32.00,32.00,30.70,24,311,9832.00,
504335,PAZEL       ,XT,Q,0.24,0.24,0.23,0.23,0.23,0.24,73,170432,39712.00,
504341,RELTD       ,X ,Q,32.70,35.00,32.70,33.75,33.75,33.00,23,4287,145429.00,
504378,NYSSACORP   ,XT,Q,2.99,2.99,2.99,2.99,2.99,2.94,30,17245,51562.00,
504380,FLOMIC      ,XT,Q,5.01,5.01,5.01,5.01,5.01,4.92,1,2,10.00,
504392,KRISHNA VEN ,XT,Q,10.93,10.93,10.93,10.93,10.93,11.50,1,5,54.00,
504605,UNI ABEX    ,X ,Q,390.00,390.05,361.20,388.65,388.95,386.75,17,302,114766.00,
